symbol,date,open,high,low,close,volume,trade_count,vwap,feed,adjustment
CEG,2026-05-11,314.81,317.25,288.38,299.23,6282283,191061,298.05,sip,all
CEG,2026-05-12,298.23,300.24,287.05,293.15,3767386,113658,292.67,sip,all
CEG,2026-05-13,288.75,291.55,268.56,274.46,6663563,190610,274.82,sip,all
CEG,2026-05-14,274.27,278.17,273.38,274.83,3660742,113236,275.47,sip,all
CEG,2026-05-15,270.65,273.195,266.57,267.2,3842133,114064,268.572732,sip,all
CEG,2026-05-18,267.2,267.87,258.9,262.0,3443769,117987,262.014403,sip,all
CEG,2026-05-19,258.48,261.21,256.1,260.67,3941309,116925,259.039497,sip,all
CEG,2026-05-20,273.39,282.6,270.2,281.26,4100511,120675,278.122808,sip,all
CEG,2026-05-21,281.53,288.0684,281.53,285.83,2369999,82838,285.865018,sip,all
CEG,2026-05-22,287.525,296.9,286.995,294.07,2884758,96937,293.448336,sip,all
CEG,2026-05-26,300.01,310.45,299.0801,301.57,3617168,109503,304.540491,sip,all
CEG,2026-05-27,300.62,300.81,286.69,288.68,3357540,106009,289.970032,sip,all
CEG,2026-05-28,285.225,289.89,281.11,286.31,2388607,92837,285.827229,sip,all
CEG,2026-05-29,286.44,290.9,284.67,287.75,2497582,67919,287.658235,sip,all
CEG,2026-06-01,275.0,278.61,264.21,265.7,11492545,271053,269.298562,sip,all
CEG,2026-06-02,266.99,275.0,260.3,272.65,7781557,160595,270.921059,sip,all
CEG,2026-06-03,272.715,274.5,265.23,267.24,4379370,118871,267.683858,sip,all
CEG,2026-06-04,266.855,268.645,261.2,264.59,3473694,100698,264.216415,sip,all
CEG,2026-06-05,261.0,261.865,253.68,254.83,4139756,143196,256.609228,sip,all
CEG,2026-06-08,256.095,256.095,250.14,250.67,3637164,113440,252.52765,sip,all
CEG,2026-06-09,252.655,256.4699,245.45,251.65,3550627,115856,250.428538,sip,all
CEG,2026-06-10,249.02,250.5422,240.51,242.3,4080375,127662,243.502386,sip,all
CEG,2026-06-11,244.975,248.31,242.9,246.71,5108843,108143,246.198532,sip,all
CEG,2026-06-12,249.83,255.12,247.65,253.76,3424863,99776,251.644978,sip,all
CEG,2026-06-15,259.735,264.925,256.12,262.35,3838307,101629,262.430484,sip,all
CEG,2026-06-16,263.59,272.42,261.9,268.0,3803192,105309,269.039732,sip,all
CEG,2026-06-17,267.37,272.22,264.71,267.17,3360306,94365,268.789357,sip,all
CEG,2026-06-18,268.73,282.77,268.0,274.06,6990866,120636,274.998868,sip,all
CEG,2026-06-22,274.86,279.74,272.1,275.53,2754700,82227,275.503074,sip,all
CEG,2026-06-23,268.405,275.42,267.5,270.26,3391538,87472,272.024384,sip,all
CEG,2026-06-24,272.85,274.02,266.3401,267.97,2680966,75784,269.305931,sip,all
CEG,2026-06-25,270.0,275.8128,268.25,268.69,3547261,78494,270.826576,sip,all
CEG,2026-06-26,265.25,269.45,260.28,264.02,3926559,86420,263.826471,sip,all
CEG,2026-06-29,266.82,268.55,257.99,259.32,3037288,88566,260.122376,sip,all
CEG,2026-06-30,256.812,260.29,245.88,248.37,5115487,135070,250.8534,sip,all
